Are you ready to begin the survey?,"Do you have any experience in analyzing, processing, or managing software logs?",Are you familiar with the following data protection regulations and standards? (Select all that apply),"Based on the above examples, which of the following attributes do you consider sensitive in software logs? Each row includes an example after the colon (:) (Select all that apply)",Have you ever anonymized log data?,"When you want to share software logs, which attributes do you anonymize? Each row includes an example after the colon (:) (Select all that apply)",Why do your responses regarding which attributes are sensitive (the question on page 4) differ from those you actually anonymize (the question on page 6) in software logs? (Select all that apply),What factors influence your decision to anonymize certain log attributes? (Select all that apply),Which anonymization techniques do you primarily use for log data? (Select all that apply),How much do you believe anonymization impacts the usefulness of the data?,How challenging do you find balancing anonymization with the need to preserve the utility of log data?,How effective do you believe your current anonymization practices are in protecting sensitive information?,How effective do you believe your current anonymization practices are in preserving utility?,How efficient do you believe your current anonymization practices are in terms of computation cost and time?,Can you share any strategies or best practices you use to maintain data utility while anonymizing logs?,What challenges do you face when applying anonymization techniques to software logs?,"Do you have any additional comments, suggestions, or insights you'd like to share regarding log anonymization practices or this survey?",Which best describes your role in the organization?,How many years of experience do you have? ,In which industry does your organization operate?,What is the approximate size of your organization?
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act), Many others! ","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, The question is wrong. It is not whether it is SENSITIVE but if it is PII. I will answer the question on whether the audit log data element contains PII",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID",Date/time combination with other data elements can lead it to be identifiable ,"Legal compliance, Risk of re-identification, Impact on data utility, Company policies, Customer requirements","Suppression, Tokenization, Truncation, Generalization, Permutation, Aggregation",Significantly,2,5,5,3,"It depends on the business purpose of keeping those logs. Keeping PII within an audit log is not necessarily a “bad” practice. If there is a legitimate purpose, it can be maintained with the right security and retention measures ",,,Data privacy officer,More than 10 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)",This question depends on the legal definition of sensitive data,Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Log level: INFO, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, Request protocol: HTTP/1.0, Request method: GET, Configuration details: vCores:32, Username: cheng","Log anonymisation depends if there is further processing of data or an onward transfer of data to third parties, with all TOMs in place","Risk of re-identification, Further processing, data aggregation and onward transfer to third parties","Tokenization, Aggregation, Hashing, Homomorphic encryption",Significantly,5,2,2,4,"Data minimisation, purpose limitation and legal requirements","Legal requirements, difficulty for Legal to understand what may be anonymised and what cannot",,Dara Privacy Senior Legal Counsel,More than 10 years,Oil and gas,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,NONE,"IP address: 192.168.1.1, File path: /user/root/rand/_temporary/part-00742",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742","Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so.","Risk of re-identification, Impact on data utility, Company policies, Customer requirements","Suppression, Tokenization, Generalization",Significantly,4,2,2,3,"Replace sensitive parts of the data with placeholder, i.e., data masking","Logs often contain a mixture of structured data and unstructured data; Logs are often generated in real-time and at high volumes,  ",,Software engineer,7-10 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Username: cheng",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Username: cheng",My answers do not differ.,"Legal compliance, Risk of re-identification","Tokenization, Hashing",Moderately,1,3,3,4,"Consider the types of data within the logs a capacity for re-identification of the information being anonymized.  Based on the type of data captured within the logs, some of those data points can be re-identified via sources like data brokers and others that collect such information.",The challenges would be understanding the purposes for the anonymization of the data and whether there exist possibilities to re-identify the data later.,No,Data privacy officer,More than 10 years,Technology,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Username: cheng, Could depend on TYPE of website visited (ie healthcare vs gaming) ",No,,,,,,,,,,,,I greatly respect your efforts here.  I hope you can really anonymize while retaining useful information!,Data privacy officer,4-6 years,Manufacturing,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Configuration details: vCores:32, Username: cheng",No,,,,,,,,,,,,Context is key! Who are you sharing the data with? What outside context do they have access to that could identify the logs with? What is the threat/worst case scenario? **Important to note also that the word “anonymize” requires full context to prove it is anonymous. ,Data privacy officer,1-3 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, Environmental data: temperature ambient=33, Configuration details: vCores:32",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, Port number: 8080, Environmental data: temperature ambient=33, Configuration details: vCores:32","Some attributes that I consider sensitive are not present in the logs I work with, so I cannot anonymize them., Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so., There are technical limitations or challenges in anonymizing certain sensitive attributes.","Legal compliance, Risk of re-identification, Company policies","Tokenization, Aggregation, Hashing",Slightly,3,4,4,3,,,,Security Engineer,4-6 years,Technology,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), Lei Geral de Proteção de Dados, Digital Markets Act, Digital Markets, Competition and Consumers Act (DMCC)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Request response time, Username: cheng",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Request response time, Username: cheng",My answers do not differ.,"Legal compliance, Risk of re-identification","Suppression, Generalization, Hashing, Differential Privacy noise, encryption (for PPJs)",Slightly,4,5,4,3,"Data minimization, good relationship with Legal and Information Security teams, Prevent join keys (e.g., very exact timestamps), privacy preserving joins","Legal complaince while maintaining unique identifies without introducing a reverse identification threat vector, maintaining SLAs, software frameworks (e
g., Spark) not built for privacy first, the EC (European Commission) complaince requires back and forth with a long turnaround time","IMO companies should build for privacy first, not minimal complaince. Minimal complaince causes a bunch of thrash (e.g., engineering time, impacted timelines, frozen or shutdown products, reevaluations of changes by Product).",Data engineer,7-10 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Username: cheng",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Log level: INFO, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Environmental data: temperature ambient=33, Username: cheng","Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so.",Legal compliance,"Tokenization, Hashing",Significantly,5,5,5,3,,,,Data privacy officer,More than 10 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Username: cheng",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Username: cheng",My answers do not differ.,"Risk of re-identification, Impact on data utility, Company policies","Tokenization, Truncation, Generalization, Hashing",Moderately,3,5,5,4,Using enterprise-wide key management / tokenization to ensure that protected / anonymized / deidentified logs can be aggregated across multiple systems from different points in time by a SIEM while maintaining referential integrity to support analytics and ultimately real-time alerting without risk of exposure should the SIEM be attacked.,"Parsing is always a challenge and the incidence of false positives (values that appear as sensitive values but are actually not) is key.  Also, the ability to find and protect any PII / PHI that may exist in the message payload (text).",Suggest investigating the tight coupling between a SIEM and its backend protection engine.  One such example is ArcSight ESM Logger coupled with Voltage SecureData.,Network / System architect,7-10 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), LGPD",IP address: 192.168.1.1,No,,,,,,,,,,,,,Data privacy officer,4-6 years,Healthcare,101-500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), LGPD (Brazilian Data Protection Law)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13",No,,,,,,,,,,,,,Data privacy officer,7-10 years,Technology,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080",No,,,,,,,,,,,,,Software engineer,Less than 1 year,Technology,1-100 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, Log level: INFO, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, Environmental data: temperature ambient=33, Configuration details: vCores:32, Username: cheng",No,,,,,,,,,,,,,Data privacy officer,1-3 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Request method: GET, Username: cheng",No,,,,,,,,,,,,Just to consider whether anyone has pseudonymized vs. just anonymized. ,Data privacy officer,More than 10 years,All - but can't choose multiple answers,1-100 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, Username: cheng",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, Username: cheng","I anonymize only those attributes that are required by company policies or regulations., Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so., The logs I handle are not always used for sharing externally, so I anonymize fewer attributes.","Legal compliance, Risk of re-identification, Impact on data utility, Company policies, Customer requirements","Suppression, Tokenization, Truncation, Generalization, Permutation, Aggregation, Hashing",Significantly,3,4,2,3,,,,Privacy Engineer ,1-3 years,Technology,More than 500 employees
